Study,Date,Hours
Planning,9/26,0
Data Science,9/27,3.15
Leitura,9/27,0
Japanese,9/27,0
SQL,9/27,0
Python,9/27,0
Faculdade,9/27,0
Other,9/27,0
Soft Skills,9/27,0
PowerBI,9/27,1.25
Networking and linkedin,9/27,0.25
Planning,9/27,0
Data Science,9/28,0.25
Leitura,9/28,0.25
Japanese,9/28,0
SQL,9/28,0.63
Python,9/28,0
Faculdade,9/28,0
Other,9/28,0.5
Soft Skills,9/28,0
PowerBI,9/28,0
Networking and linkedin,9/28,0.5
Planning,9/28,0
Data Science,9/29,0
Leitura,9/29,0
Japanese,9/29,0
SQL,9/29,0.5
Python,9/29,0
Faculdade,9/29,0
Other,9/29,0
Soft Skills,9/29,0
PowerBI,9/29,0
Networking and linkedin,9/29,0.25
Planning,9/29,0
Data Science,9/30,0
Leitura,9/30,0
Japanese,9/30,0
SQL,9/30,0
Python,9/30,0
Faculdade,9/30,0
Other,9/30,0
Soft Skills,9/30,0
PowerBI,9/30,0
Networking and linkedin,9/30,4.15
Planning,9/30,0.5
Data Science,10/1,1.25
Leitura,10/1,0
Japanese,10/1,0
SQL,10/1,0
Python,10/1,0
Faculdade,10/1,0
Other,10/1,3
Soft Skills,10/1,0
PowerBI,10/1,0
Networking and linkedin,10/1,0.6
Planning,10/1,0
Data Science,10/2,0
Leitura,10/2,1.25
Japanese,10/2,0
SQL,10/2,0
Python,10/2,0
Faculdade,10/2,1
Other,10/2,0
Soft Skills,10/2,0
PowerBI,10/2,0
Networking and linkedin,10/2,2.39
Planning,10/2,0.38
Data Science,10/3,1.13
Leitura,10/3,0.75
Japanese,10/3,0
SQL,10/3,0
Python,10/3,0
Faculdade,10/3,0
Other,10/3,0
Soft Skills,10/3,0.25
PowerBI,10/3,0.85
Networking and linkedin,10/3,3.67
Planning,10/3,0.25
Data Science,10/4,1
Leitura,10/4,0
Japanese,10/4,0
SQL,10/4,0
Python,10/4,0
Faculdade,10/4,0
Other,10/4,0
Soft Skills,10/4,0
PowerBI,10/4,0
Networking and linkedin,10/4,1.25
Planning,10/4,0.25
