Study,Date,Hours
Leitura,6/14,0.32
Japanese,6/14,0
SQL,6/14,0
Python,6/14,0
AWS,6/14,0
Faculdade,6/14,4.86
Other,6/14,0
Soft Skills,6/14,0
Data Science,6/15,0
Leitura,6/15,0.33
Japanese,6/15,0
SQL,6/15,0
Python,6/15,0
AWS,6/15,0
Faculdade,6/15,2.75
Other,6/15,0
Soft Skills,6/15,0
Data Science,6/16,0
Leitura,6/16,0
Japanese,6/16,0
SQL,6/16,0
Python,6/16,0
AWS,6/16,0
Faculdade,6/16,0
Other,6/16,0
Soft Skills,6/16,0
Data Science,6/17,0
Leitura,6/17,0
Japanese,6/17,0
SQL,6/17,1.3
Python,6/17,0.25
AWS,6/17,3.5
Faculdade,6/17,0
Other,6/17,0
Soft Skills,6/17,0
Data Science,6/18,0
Leitura,6/18,0.2
Japanese,6/18,0
SQL,6/18,0
Python,6/18,0
AWS,6/18,2.5
Faculdade,6/18,0
Other,6/18,0
Soft Skills,6/18,0
Data Science,6/19,0
Leitura,6/19,0.5
Japanese,6/19,0
SQL,6/19,0
Python,6/19,0
AWS,6/19,4.5
Faculdade,6/19,0
Other,6/19,0
Soft Skills,6/19,0
Data Science,6/20,0
Leitura,6/20,0
Japanese,6/20,0
SQL,6/20,0
Python,6/20,0
AWS,6/20,5
Faculdade,6/20,0
Other,6/20,0
Soft Skills,6/20,0
Data Science,6/21,0
Leitura,6/21,0
Japanese,6/21,0
SQL,6/21,0
Python,6/21,0
AWS,6/21,0.5
Faculdade,6/21,0
Other,6/21,0
Soft Skills,6/21,0
Data Science,6/22,0
Leitura,6/22,0
Japanese,6/22,0
SQL,6/22,0
Python,6/22,0
Faculdade,6/22,2
Other,6/22,0
Soft Skills,6/22,0
Data Science,6/23,0
Leitura,6/23,0
Japanese,6/23,0
SQL,6/23,0
Python,6/23,0
Faculdade,6/23,0
Other,6/23,0
Soft Skills,6/23,0
Data Science,6/24,1.5
Leitura,6/24,0.5
Japanese,6/24,0
SQL,6/24,0
Python,6/24,0
Faculdade,6/24,0
Other,6/24,0
Soft Skills,6/24,0
Data Science,6/25,2.5
Leitura,6/25,0.25
Japanese,6/25,0
SQL,6/25,0
Python,6/25,0
Faculdade,6/25,0
Other,6/25,0
Soft Skills,6/25,0
Data Science,6/26,4
Leitura,6/26,0
Japanese,6/26,0
SQL,6/26,0.5
Python,6/26,0
Faculdade,6/26,0
Other,6/26,0
Soft Skills,6/26,0
Data Science,6/27,4.25
Leitura,6/27,0.33
Japanese,6/27,0
SQL,6/27,0.2
Python,6/27,0
Faculdade,6/27,0
Other,6/27,0
Soft Skills,6/27,0
Data Science,6/28,1.75
Leitura,6/28,0.4
Japanese,6/28,0
SQL,6/28,0
Python,6/28,0
Faculdade,6/28,0
Other,6/28,0
Soft Skills,6/28,0
Data Science,6/29,0
Leitura,6/29,0
Japanese,6/29,0
SQL,6/29,0
Python,6/29,0
Faculdade,6/29,0
Other,6/29,0
Soft Skills,6/29,0
Data Science,6/30,0
Leitura,6/30,1.5
Japanese,6/30,0
SQL,6/30,0
Python,6/30,0
Faculdade,6/30,0
Other,6/30,0
Soft Skills,6/30,0
Data Science,7/1,1.5
Leitura,7/1,0
Japanese,7/1,0
SQL,7/1,0.75
Python,7/1,0
Faculdade,7/1,0
Other,7/1,0.9
Soft Skills,7/1,0
Data Science,7/2,4.8
Leitura,7/2,0
Japanese,7/2,0.5
SQL,7/2,0
Python,7/2,0
Faculdade,7/2,0
Other,7/2,0
Soft Skills,7/2,0
Data Science,7/3,5.25
Leitura,7/3,0.4
Japanese,7/3,0
SQL,7/3,0
Python,7/3,0
Faculdade,7/3,0
Other,7/3,0
Soft Skills,7/3,0
Data Science,7/4,3.33
Leitura,7/4,1.15
Japanese,7/4,0
SQL,7/4,0.55
Python,7/4,0
Faculdade,7/4,0
Other,7/4,0
Soft Skills,7/4,0
Data Science,7/5,1.63
Leitura,7/5,0.33
Japanese,7/5,0
SQL,7/5,1.25
Python,7/5,0
Faculdade,7/5,0
Other,7/5,0
Soft Skills,7/5,0
Data Science,7/6,2.08
Leitura,7/6,0
Japanese,7/6,0
SQL,7/6,0
Python,7/6,0
Faculdade,7/6,0
Other,7/6,0
Soft Skills,7/6,0
Data Science,7/7,4.85
Leitura,7/7,0
Japanese,7/7,0
SQL,7/7,0
Python,7/7,0
Faculdade,7/7,0
Other,7/7,0
Soft Skills,7/7,0
Data Science,7/8,1.28
Leitura,7/8,0.2
Japanese,7/8,0
SQL,7/8,0
Python,7/8,0
Faculdade,7/8,0
Other,7/8,3.2
Soft Skills,7/8,0
Data Science,7/9,2.85
Leitura,7/9,0
Japanese,7/9,0
SQL,7/9,0.75
Python,7/9,0
Faculdade,7/9,0
Other,7/9,0
Soft Skills,7/9,0
Data Science,7/10,5.23
Leitura,7/10,0.33
Japanese,7/10,0
SQL,7/10,1
Python,7/10,0
Faculdade,7/10,0
Other,7/10,0
Soft Skills,7/10,0
Data Science,7/11,4.92
Leitura,7/11,0.4
Japanese,7/11,0
SQL,7/11,0
Python,7/11,0
Faculdade,7/11,0
Other,7/11,0
Soft Skills,7/11,0
Data Science,7/12,5
Leitura,7/12,0
Japanese,7/12,0
SQL,7/12,0
Python,7/12,0
Faculdade,7/12,0
Other,7/12,0
Soft Skills,7/12,0
Data Science,7/13,1.6
Leitura,7/13,0.25
Japanese,7/13,0
SQL,7/13,0
Python,7/13,0
Faculdade,7/13,0
Other,7/13,0
Soft Skills,7/13,0
Data Science,7/14,4.89
Leitura,7/14,0
Japanese,7/14,0
SQL,7/14,0
Python,7/14,0
Faculdade,7/14,0
Other,7/14,0
Soft Skills,7/14,0
Data Science,7/15,5.72
Leitura,7/15,0
Japanese,7/15,0
SQL,7/15,0
Python,7/15,0
Faculdade,7/15,0
Other,7/15,0.75
Soft Skills,7/15,0
Data Science,7/16,2.92
Leitura,7/16,0
Japanese,7/16,0
SQL,7/16,0
Python,7/16,0
Faculdade,7/16,0
Other,7/16,3.5
Soft Skills,7/16,0
Data Science,7/17,2.25
Leitura,7/17,0
Japanese,7/17,0
SQL,7/17,0
Python,7/17,0
Faculdade,7/17,0
Other,7/17,2.25
Soft Skills,7/17,0
Data Science,7/18,2.25
Leitura,7/18,0
Japanese,7/18,0
SQL,7/18,0
Python,7/18,0
Faculdade,7/18,0
Other,7/18,3.17
Soft Skills,7/18,0
Data Science,7/19,1
Leitura,7/19,0
Japanese,7/19,0
SQL,7/19,0.26
Python,7/19,0
Faculdade,7/19,0
Other,7/19,3
Soft Skills,7/19,0
Data Science,7/20,0
Leitura,7/20,0.5
Japanese,7/20,0
SQL,7/20,2.5
Python,7/20,0
Faculdade,7/20,0
Other,7/20,0
Soft Skills,7/20,0
Data Science,7/21,0.5
Leitura,7/21,0
Japanese,7/21,0
SQL,7/21,2
Python,7/21,0
Faculdade,7/21,0
Other,7/21,0
Soft Skills,7/21,0
Data Science,7/22,3.42
Leitura,7/22,0
Japanese,7/22,0
SQL,7/22,0
Python,7/22,0
Faculdade,7/22,0
Other,7/22,2.75
Soft Skills,7/22,0
Data Science,7/23,1.78
Leitura,7/23,0.92
Japanese,7/23,0
SQL,7/23,0
Python,7/23,0
Faculdade,7/23,0
Other,7/23,0.75
Soft Skills,7/23,0
Data Science,7/24,5.05
Leitura,7/24,0
Japanese,7/24,0
SQL,7/24,0
Python,7/24,0
Faculdade,7/24,0
Other,7/24,0
Soft Skills,7/24,0
Data Science,7/25,4.75
Leitura,7/25,0
Japanese,7/25,0
SQL,7/25,0
Python,7/25,0
Faculdade,7/25,0
